State Full Name,State,Latitude,Longitude
Alabama,AL,32.80167,-86.79417
Alaska,AK,64.2811,-149.8183
Arizona,AZ,34.72778,-111.6605
Arkansas,AR,35.20105,-92.17929
California,CA,37.2733,-119.4179
Colorado,CO,39.0591,-105.5089
Connecticut,CT,41.59859,-72.70751
Delaware,DE,38.91083,-75.50567
District of Columbia,DC,38.90722,-77.00306
Florida,FL,29.5311,-84.0717
Georgia,GA,32.9065,-83.3578
Hawaii,HI,20.2584,-155.9583
Idaho,ID,44.2069,-114.4769
Illinois,IL,40.03388,-89.37982
Indiana,IN,39.8442,-86.2736
Iowa,IA,41.878,-93.0977
Kansas,KS,38.4978,-98.3803
Kentucky,KY,37.66905,-84.873
Louisiana,LA,31.1695,-91.975
Maine,ME,44.6072,-69.3872
Maryland,MD,39.0457,-76.6412
Massachusetts,MA,42.2353,-71.5378
Michigan,MI,44.3317,-84.4822
Minnesota,MN,46.6588,-94.2783
Mississippi,MS,32.3182,-89.0223
Missouri,MO,38.4503,-92.3075
Montana,MT,46.8797,-109.9372
Nebraska,NE,41.4822,-98.3347
Nevada,NV,39.1533,-116.1167
New Hampshire,NH,43.4523,-71.5654
New Jersey,NJ,40.2984,-74.2175
New Mexico,NM,35.0147,-105.9036
New York,NY,42.6975,-75.4912
North Carolina,NC,35.5383,-79.0025
North Dakota,ND,47.2889,-100.2878
Ohio,OH,40.3844,-82.9
Oklahoma,OK,35.5178,-97.5278
Oregon,OR,44.5958,-120.4571
Pennsylvania,PA,40.5983,-77.7797
Rhode Island,RI,41.6805,-71.5114
South Carolina,SC,33.8419,-81.0964
South Dakota,SD,44.8667,-99.9056
Tennessee,TN,35.7667,-86.5333
Texas,TX,31.0553,-97.9278
Utah,UT,39.155,-111.8872
Vermont,VT,44.0412,-72.6889
Virginia,VA,37.7694,-78.8767
Washington,WA,47.7511,-120.7422
West Virginia,WV,38.4917,-80.4644
Wisconsin,WI,44.2128,-89.1322
Wyoming,WY,44.25,-107.2878
